text,favoriteCount,retweetCount
"It's #Friday and the #weekend is here!

We offer FREE Kids Meals with each purchased entree

View our menus on ou https://t.co/1qoDcCuuPF",0,0
We love seeing your spots that feature us! Thanks @staraiedes for tagging us and for being a part of the iconoCLAD https://t.co/pQv8uAhQSp,0,0
I almost texted my ex-wife to send me a picture of her asshole but she would probably send me a picture of her boyf https://t.co/NgVbQ1cZwM,1,0
@TriciaMorrisADR @zimpeterw @Focus4Health @MoreThymeBlog @Hoardnot @nplace1 @MyLogoSource @DavidGrahamSA https://t.co/fq4s380UCs,2,1
The #weekend is the perfect time to make your #gaming #clips to enter into our #cash #contest Lots of great games t https://t.co/KjTV90KWmS,0,0
"Have a great weekend..... Please Listen to ""EPISODE 23 - Wrapping up the week and a thank you!"" by https://t.co/DBg0xRV8DZ",0,0
Ondertussen in huize Holzken een diepgaande conversatie met mijn man. #zeiklozevrijdagavond #weekend https://t.co/Sjbwev4Ln6,0,0
Day 24 of #lockdown - its #feelgoodfriday  so here's to the #weekend and lots of #feelgood feelings  this bottle https://t.co/d6LCm1ipO5,1,0
As  40! G  s  ss    40! Ex           https://t.co/KXrcvORJSt,2,0
For sure this will be effective. #COVID19 #StayAtHome #QuarantineLife #yoga #weekend #Motivation https://t.co/JtR5HMJEeq,0,1
Wore the wrong pants to work. Instead of going home to change I just cut both sides to incorporate my ever expandin https://t.co/DlRrVMQCgj,0,0
"signing off for #today folks, have a great #weekend #everyone! #weekendofwonders",0,0
A photo I took a year to the day in my favourite park. Going to use a bit of spare time to paint this scene  https://t.co/bpm05SgwBu,1,0
"#SameSztosy  Od 23 Sety Didejskie! Zaprasza #DJ Ant: #Warszawa 97,1 FM i net: https://t.co/WPhIKc7R2I #Warszawa https://t.co/uvteQCyOuV",0,0
Any fun plans for the weekend?? #fun #plans #weekend #saturday #sunday #liveitup #livesweatsleep,1,0
"Ok! Let's start #bulletjournaling again!  It's #weekend I could find time for it! 
#stayAtHome https://t.co/pg1AEu6ZXK",0,0
Incase you  have forgotten which day it is ... #weekend is here   #PositiveVibes ONLY .... #StayHome https://t.co/PajeVXdbpC,1,0
That webinar #doodling and countdown to the #weekend at last !! https://t.co/mQfemGjd6f,0,0
"Isn't it kind of messed up when Koopa Troopa uses the green shell in #MarioKart? @NintendoAmerica 
Like he coulda j https://t.co/rJzHQi3iNj",1,0
"
@amacc_sa
.
.
#amacc
#earrings
#Friday
#FridayReads
#FridayNightLights
#TGIF
#weekend
#LockdownSA https://t.co/u5nfgXYwCh",1,0
"#Bremen
#COVID19 
#StayAtHome 
#Weekend https://t.co/69hMCyiPqD",0,0
#speaktheworld #weekend #FridayThoughts #FridayVibes https://t.co/UfSSw6TLdU,0,0
#speaktheworld #weekend #FridayThoughts #Fridayvibes #readinglanguages #newhobbies #mindgrowth #expandyourhorizons https://t.co/ZFprPCIHM1,0,0
"Introducing our 10
Year old to iconic 80s and 90s fillums... #lockdown #Limerick #PositiveVibes #nostalgia #80s https://t.co/MB5V1xqL0R",0,0
#DowJones up 700 plus points today. #KeepAmericaGreat. Great job today #Bulls #Bullish #Stocks #Trade #Dow #PositiveNews #Patience #Weekend,0,0
"Aee zindagi tujhe jaise nachana hai nacha lee...bas gaana Punjabi hona chahiye 
#QuarantineTime #lockdown #weekend",0,0
"Version finie, roses  lancienne 
#roses #markers #acrylic #nature #rouge #vert #red #green #oldies #practice https://t.co/8XCiwOMX3P",0,0
5-6-7-8..... #weekend  #selfie #selfisolation https://t.co/A90q5OTIwZ,243,14
"Some #A400M aircraft of @Team_Luftwaffe resting on the tarmac at Wunstorf AB after a long work day.

A fabulous by https://t.co/A18aVSJRSU",9,1
"Wanneer opa's, oma's, mensen zo bang worden gemaakt dat ze alleen op afstand contact willen. Het gemis van vriendje https://t.co/YiBwIpo8aI",0,0
Ich wnsche euch allen ein schnes Wochenende! #wochende #weekend,2,0
Stock up on all the essentials at any of our 18 convenient locations before the #weekend: https://t.co/eUAl5VlKbp https://t.co/iXzRDByLTu,0,0
"Week 4 complete 

#workingfromhome #weekend #wevegotthis  https://t.co/hmCmUdPiVG",4,1
Happy Friday America from the Levy quarantine.  God Bless!  #GUNNESS #FridayThoughts #weekend #FlattenTheCuve https://t.co/dDMwWONqhK,0,0
"Fiction or non fiction? Tell us what youll be reading this weekend!  

#StayHomeAndRead #StaySafe #History https://t.co/9J7kRJYcba",0,0
countdown to the #weekend with #totp1989 catch up now....creating happy sing-along  #FridayVibes https://t.co/Zvi55k2fnX,0,0
"Secret Hideaway 

#FunFactFriday #weekend https://t.co/Ds2cGIS2MB",1,0
Quarantine week 3 https://t.co/0jQq5SchgP via @YouTube #COVID19 #weekend #QuarantineLife,0,0
@woodcowbooks @CordonRoma @RoadBrook @vernsanders @CarolynRuffles @laliaristo @AwesomeRex_ @CatherineDownen https://t.co/vgGMUEvm6k,3,0
"Hey guys I have a new freestylehttps://t.co/axr3WohmSZ
 #Musica #weekend #New #latina #PuertoRico https://t.co/VCNvMU8eEN",0,0
"Well that's another week done! We hope you all have a lovely weekend ... stay at home, stay safe ... and we'll see https://t.co/swKhORbwDA",0,0
Hope you all had a good week? (If not different) Excited to share this item from my #etsy shop: Artist's Sketchbook https://t.co/JzdBzLdEz0,5,4
Pide las costillas que ms te gusten!!! Llama al 444 833 8775 y enviamos tu pedido a domicilio o recgelo en el res https://t.co/Cg9peN06DD,0,0
"Okay...How about a relaxing, captivatiing,weekend read? 
https://t.co/mtW3lpIhc8

#weekend #weekendreads https://t.co/tKZgN2wshh",0,2
"Tonight on air in just 1 hour:
Listen to The Friday Rock Show 
from 10pm (UK=11pmCEST)
at Hospital Radio Reading https://t.co/UqS8ypCP26",2,2
"Find something strategic to do in isolation this weekend.

https://t.co/ldD4r6sDqr

#boardgames #isolation #weekend https://t.co/7Qp6O77jxl",0,1
Weve raised the bar and have gone all out! Our Super Wild Weekend begins today and extends until Sunday. Check out https://t.co/UGr87LoCou,0,0
6:30 PM EST stream tonight? I think so! Bet your ass drinks will be in hand! Join me for shenanigans tonight  https://t.co/9aUOUptIsz,3,0
Just in time for the weekend! Our hard working sponsor Vimy Brewing Company is on the road every day of the week an https://t.co/ZyRAWyghn9,0,1
#weekend,0,0
Psst: It's the last #weekend to work on your application to The Innovation Fund. Pass it on. https://t.co/8337rPMCTJ,1,0
Cruise into the weekend with this delicious and healthy #superfood #smoothie recipe featuring our #organic Belmont https://t.co/3CMOzLlaIB,0,0
I sprayed myself with perfume to go to the shop to buy myself a bottle of wine - the highlight of my week  I may b https://t.co/SuBNZ7A3h3,1,0
